ozel_gun_adi	baslangic_tarihi_2014	bitis_tarihi_2014	baslangic_tarihi_2015	bitis_tarihi_2015	baslangic_tarihi_2016	bitis_tarihi_2016	baslangic_tarihi_2017	bitis_tarihi_2017	aciklama	ozel_gun_tipi	ozel_gun_tipi_aciklama	resmi_tatil
Dünya Konut Günü	13.10.2014	13.10.2014	13.10.2015	13.10.2015	13.10.2016	13.10.2016	13.10.2017	13.10.2017	Sabit	3	Sosyal-Özel Gün	0
Dünya Engelliler Günü	01.03.2014	07.03.2014	01.03.2015	07.03.2015	01.03.2016	07.03.2016	01.03.2017	07.03.2017	Sabit	3	Sosyal-Özel Gün	0
Gençlik Haftası	19.05.2014	25.05.2014	19.05.2015	25.05.2015	19.05.2016	25.05.2016	19.05.2017	25.05.2017	Sabit	3	Sosyal-Özel Gün	0
Dünya Şehircilik Günü	14.02.2014	14.02.2014	14.02.2015	14.02.2015	14.02.2016	14.02.2016	14.02.2017	14.02.2017	Sabit	3	Sosyal-Özel Gün	0
Sevgililer Günü	14.02.2014	14.02.2014	14.02.2015	14.02.2015	14.02.2016	14.02.2016	14.02.2017	14.02.2017	Sabit	3	Sosyal-Özel Gün	0
Şükran Günü	27.11.2014	28.11.2014	26.11.2015	27.11.2015	24.11.2016	25.11.2016	23.11.2017	24.11.2017	Kasım Ayının 4. Perşembesi	2	Dini Gün	0
Çevre Koruma Haftası	09.06.2014	15.06.2014	08.06.2015	14.06.2015	08.06.2016	14.06.2016	12.06.2017	18.06.2017	Haziran Ayının İkinci Haftası	3	Sosyal-Özel Gün	0
Uluslarası Irk Ayrımı İle Mücadele Günü	21.03.2014	21.03.2014	21.03.2015	21.03.2015	21.03.2016	21.03.2016	21.03.2017	21.03.2017	Sabit	3	Sosyal-Özel Gün	0
Aşure Günü	03.11.2014	03.11.2014	23.10.2015	23.10.2015	11.10.2016	11.10.2016	30.09.2017	30.09.2017	Değişken	2	Dini Gün	0
Dünya Tasarruf Günü	26.01.2014	26.01.2014	25.01.2015	25.01.2015	31.01.2016	31.01.2016	29.01.2017	29.01.2017	Sabit	3	Sosyal-Özel Gün	0
Dünya Kitap Günü	21.04.2014	27.04.2014	20.04.2015	26.04.2015	20.04.2016	26.04.2016	17.04.2017	23.04.2017	23 Nisan Gününü İçine Alan Hafta	3	Sosyal-Özel Gün	0
Yaşlılara Saygı Haftası	18.03.2014	24.03.2014	18.03.2015	24.03.2015	18.03.2016	24.03.2016	18.03.2017	24.03.2017	Sabit	3	Sosyal-Özel Gün	0
Ramazan Bayramı	28.07.2014	30.07.2014	17.07.2015	19.07.2015	17.07.2016	19.07.2016	17.07.2017	19.07.2017	Değişken	2	Dini Gün	1
Camiiler Haftası	01.10.2014	07.10.2014	01.10.2015	07.10.2015	01.10.2016	07.10.2016	01.10.2017	07.10.2017	Ekim Ayının İlk Haftası	3	Sosyal-Özel Gün	0
